dataset,modality,model,bottleneck,num_concepts,baseline_val_acc,baseline_ood_acc,baseline_gap,attention_val_acc,attention_ood_acc,attention_gap,val_improvement,ood_improvement,gap_improvement
HAM10000,skin,whylesionclip,PubMed,5,72.5,71.74129353233832,0.7587064676616819,67.0,66.76616915422886,0.23383084577113777,-5.5,-4.975124378109456,0.5248756218905442
Melanoma,skin,whylesionclip,PubMed,5,85.0,82.8,2.200000000000003,85.8,84.1,1.7000000000000028,0.7999999999999972,1.2999999999999972,0.5
ISIC-age,skin,whylesionclip,PubMed,5,83.0,68.33333333333333,14.666666666666671,82.33333333333334,68.0,14.333333333333343,-0.6666666666666572,-0.3333333333333286,0.3333333333333286
ISIC-sex,skin,whylesionclip,PubMed,5,74.0,77.33333333333333,-3.3333333333333286,73.33333333333333,73.33333333333333,0.0,-0.6666666666666714,-4.0,-3.3333333333333286
ISIC-site,skin,whylesionclip,PubMed,5,73.66666666666667,61.83333333333333,11.833333333333343,76.16666666666667,57.99999999999999,18.16666666666668,2.5,-3.8333333333333357,-6.333333333333336
ISIC-color,skin,whylesionclip,PubMed,5,85.0,74.61538461538461,10.384615384615387,82.6923076923077,74.61538461538461,8.07692307692308,-2.3076923076923066,0.0,2.3076923076923066
ISIC-hospital,skin,whylesionclip,PubMed,5,86.6,62.8,23.799999999999997,83.39999999999999,58.599999999999994,24.799999999999997,-3.200000000000003,-4.200000000000003,-1.0
BCN20000,skin,whylesionclip,PubMed,5,54.0,53.25,0.75,52.37500000000001,53.37499999999999,-0.9999999999999858,-1.624999999999993,0.1249999999999929,1.7499999999999858
PAD-UFES-20,skin,whylesionclip,PubMed,5,73.5,70.5,3.0,76.0,70.5,5.5,2.5,0.0,-2.5
UWaterloo,skin,whylesionclip,PubMed,5,55.00000000000001,60.0,-4.999999999999993,60.0,50.0,10.0,4.999999999999993,-10.0,-14.999999999999993
